"","species","covariate","mean","sd","q5","q95"
"1","Sambar Deer","(Intercept)",-3.752878353125,1.03792060937632,-5.562876,-2.122248
"2","Sambar Deer","Bare soil (%)",0.3698320245675,0.222394955212672,0.012870005,0.75160875
"3","Sambar Deer","Nitrogen (%)",0.314619124191875,0.23054750301415,-0.069876115,0.68631985
"4","Sambar Deer","Distance to pastural land (m)",-0.5433882116875,0.188142798410842,-0.85622645,-0.24929825
"5","Sambar Deer","Precipitation seasonality",-0.220402019728125,0.210753239536451,-0.57787195,0.1233069
"6","Sambar Deer","Forest edge per km^2^ (m)",0.163285916799375,0.14030171689554,-0.060326315,0.39559035
"7","Fallow Deer","(Intercept)",-1.684864559375,0.509513647202908,-2.577491,-0.9095645
"8","Fallow Deer","Bare soil (%)",-0.095508076639375,0.305740711757603,-0.5977654,0.4225659
"9","Fallow Deer","Nitrogen (%)",0.22998000855,0.31577725316761,-0.3140427,0.7235986
"10","Fallow Deer","Distance to pastural land (m)",-0.8877694173375,0.278315320928344,-1.339547,-0.4275923
"11","Fallow Deer","Precipitation seasonality",0.375274718026813,0.249418086167745,-0.002356714,0.79754035
"12","Fallow Deer","Forest edge per km^2^ (m)",0.599808577,0.196842559816867,0.27361335,0.93101955
"13","Red Deer","(Intercept)",-6.784792975,1.13164679107971,-8.6698195,-4.953898
"14","Red Deer","Bare soil (%)",-0.70780155905,0.818960771213935,-2.099892,0.5903963
"15","Red Deer","Nitrogen (%)",-0.460080459025,0.647333548766075,-1.5351435,0.589674599999999
"16","Red Deer","Distance to pastural land (m)",-1.56784489740625,0.69618992852731,-2.684622,-0.4227574
"17","Red Deer","Precipitation seasonality",1.03083256336125,0.596665956272981,0.086273785,2.063772
"18","Red Deer","Forest edge per km^2^ (m)",-0.68989642267125,0.432895204292132,-1.3879085,0.00889997749999982
"19","Hog Deer","(Intercept)",-8.33844689375,1.31592764464322,-10.602055,-6.286679
"20","Hog Deer","Bare soil (%)",-0.70946403950625,0.507167361914101,-1.541699,0.0784165549999996
"21","Hog Deer","Nitrogen (%)",0.571646053348125,0.61306723149023,-0.45619235,1.5878535
"22","Hog Deer","Distance to pastural land (m)",-0.29384639116875,0.341711494139105,-0.8639013,0.2297857
"23","Hog Deer","Precipitation seasonality",0.76560030455,0.337491342543232,0.203957,1.293649
"24","Hog Deer","Forest edge per km^2^ (m)",0.314298946281375,0.247876611625862,-0.10011715,0.7183794
