Species,Detection,Number of Sites,Average Density,SD between sites
Sambar,Not seen,182,0.83,1.31
Sambar,Only detected on transects,31,2.4,1.66
Sambar,Only seen on cameras,50,3.23,4.51
Sambar,Seen on both camera and transect,54,4.15,2.65
Fallow,Not seen,259,0.59,2.25
Fallow,Only detected on transects,28,1.01,1.64
Fallow,Only seen on cameras,20,1.36,1.36
Fallow,Seen on both camera and transect,10,2,1.73
Red,Not seen,304,0.05,0.21
Red,Only detected on transects,1,1.24,NA
Red,Only seen on cameras,5,1.38,1.36
Red,Seen on both camera and transect,7,1.84,2.2
Hog,Not seen,293,0.27,1.2
Hog,Only detected on transects,2,1.71,2.24
Hog,Only seen on cameras,22,3.55,3.09
